delta_lambda,median_final_residual,min_final_residual,max_final_residual
0.01,2.4520747607068227e-07,2.452073479793574e-07,2.452074760745098e-07
0.0001,2.4520739328677216e-09,2.45207391849306e-09,2.452074317873746e-09
1e-06,2.452054276262122e-11,2.452053437452712e-11,2.452092019550921e-11
1e-08,2.4504290545421615e-13,2.4504117236169305e-13,2.4542094292224325e-13
1e-10,2.6479584606422488e-15,2.2752993432788702e-15,2.6647661500744215e-15
