iteration,angle_to_truth,residual_T_v_over_norm_T,rayleigh_quotient
0,9.999999973779312e-05,5.888383942876437e-05,1.8465221415332606e-06
1,0.0,2.452092661206736e-11,-9.901662375303227e-09
2,0.0,2.4520926476667572e-11,-9.901662369382164e-09
3,0.0,2.4520919913873406e-11,-9.901659719289788e-09
4,1.4901161193847656e-08,2.4520916983188e-11,-9.901658535715904e-09
5,0.0,2.4520926217861797e-11,-9.901662264852406e-09
