s,s_over_n,median_final_residual,min_final_residual,max_final_residual
110,1.1,2.4520542305658134e-11,2.4520539934767078e-11,2.4520547512850954e-11
125,1.25,2.452055167648175e-11,2.4520534564549722e-11,2.4520923304869925e-11
150,1.5,2.4520545748268914e-11,2.452054096604623e-11,2.4520918713879147e-11
200,2.0,2.452092167443187e-11,2.452054687522942e-11,2.4520924646881292e-11
300,3.0,2.4520547778338068e-11,2.4520540448993195e-11,2.4520926659580354e-11
400,4.0,2.4520551473971306e-11,2.4520546477066655e-11,2.4520918813279277e-11
