tau,median_final_residual,min_final_residual,max_final_residual
0.0001,2.452054713712142e-11,2.4520546473665114e-11,2.4520928050177092e-11
1e-06,2.4520915276692727e-11,2.4520538559675262e-11,2.4520925321730808e-11
1e-08,2.4520919760324868e-11,2.4520540008795926e-11,2.452092811788683e-11
1e-10,2.452054601320242e-11,2.45205425872688e-11,2.4520924942957348e-11
1e-12,2.4520545252316157e-11,2.452053624173625e-11,2.4520920766774748e-11
1e-14,2.452054359846495e-11,2.452053665550625e-11,2.4520926688095745e-11
